繳交資料名稱,繳交時間,負責填寫單位,文件說明,
【表一】臺北科技大學校外實習合作單位基本資料表,實習前,請公司填寫,,
【表二】臺北科技大學學生校外實習工作機會評估表,實習前,校內指導老師(同專題指導老師)填寫,,
【表二之一】臺北科技大學個別實習計畫表,實習前,公司內部業師、校內指導老師、學生填寫,,
【表三】國立臺北科大學校外實習三方實習合約(工作型),實習前,公司、學生、學校,合約書請擇一填寫有薪資請簽「工作型」合約無薪資請簽「學習型」合約出國實習才需要填寫「境外」實習合約書。,
【表三】國立臺北科大學校外實習三方實習合約(學習型),實習前,公司、學生、學校,合約書請擇一填寫有薪資請簽「工作型」合約無薪資請簽「學習型」合約出國實習才需要填寫「境外」實習合約書。,
【表三】臺北科技大學「境外」實習三方合約,實習前,公司、學生、學校,合約書請擇一填寫有薪資請簽「工作型」合約無薪資請簽「學習型」合約出國實習才需要填寫「境外」實習合約書。,
【表三】臺北科技大學「境外」實習合約,實習前,公司、學生、學校,合約書請擇一填寫有薪資請簽「工作型」合約無薪資請簽「學習型」合約出國實習才需要填寫「境外」實習合約書。,
【表七】學生校外實習名單,實習前,系辦彙整，同學無需填寫,,
【表八】校外實習家長同意書,實習前,學生、家長。,家長需要簽名或是蓋章,
【表九】國立臺北科技大學校外實習安全切結書,實習前,學生填寫。,,
國立臺北科技大學學生出國實習離校申請表,實習前,有申請出國實習學生，才需要填寫。,,
【附件二】國立臺北科技大學校外實習評分表及證明,實習後,公司填寫,並加蓋公司有效章戳(可以公司章、部門章或是人資專用章),
【表四】臺北科技大學校外實習記錄,實習後,學生填寫,,
【表五】臺北科技大學實習輔導紀錄(老師),實習後,校內指導老師協助填寫,訪視照片至少需要包含：有可以代表公司的招牌、學生本人(老師、實習公司老師如果可以一起拍照會是更完整的),
臺北科技大學校外實習心得報告格式,實習後,學生撰寫,,
臺北科技大學雇主滿意度問卷調查表,實習後,公司填寫,,
臺北科技大學學生滿意度問卷調查表,實習後,學生填寫,,
國立臺北科技大學校外實習機構追蹤評估表,實習後,校內指導老師填寫,,
AACSB 管理學院校外實習評分表-國立臺北科技大學管理學院校外實習評分表 ,實習後,公司,,
AACSB 國立臺北科技大學管理學院校外實習學生意見表,實習後,學生,,
